traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
甲狀腺功能亢進,甲状腺功能亢进,jia3 zhuang4 xian4 gong1 neng2 kang4 jin4],hyperthyroidism,abbr. to 甲亢[jia3 kang4],,,,,,,,,,,,,,,,
甲狀腺素,甲状腺素,jia3 zhuang4 xian4 su4],thyroid hormone,thyroxine (used to treat underactive thyroid),,,,,,,,,,,,,,,,
甲狀腺腫,甲状腺肿,jia3 zhuang4 xian4 zhong3],goiter (enlargement of thyroid gland),,,,,,,,,,,,,,,,,
甲申,甲申,jia3 shen1],21st year A9 of the 60 year cycle e.g. 2004 or 2064,,,,,,,,,,,,,,,,,
甲申政變,甲申政变,Jia3 shen1 zheng4 bian4],unsuccessful and bloody Korean palace coup in 1884 by Westernisers against conservatives crushed by Qing troops,,,,,,,,,,,,,,,,,
甲硝唑,甲硝唑,jia3 xiao1 zuo4],metronidazole (antibacterial agent),Flagyl (trade name),,,,,,,,,,,,,,,,
甲硫氨酸,甲硫氨酸,jia3 liu2 an1 suan1],methionine (Met) an essential amino acid,,,,,,,,,,,,,,,,,
甲磺磷定,甲磺磷定,jia3 huang2 lin2 ding4],pralidoxime mesylate,,,,,,,,,,,,,,,,,
甲第,甲第,jia3 di4],residence of a noble,top candidate in the imperial examinations,,,,,,,,,,,,,,,,
甲等,甲等,jia3 deng3],grade A,first-class,,,,,,,,,,,,,,,,
甲級,甲级,jia3 ji2],first rate,top class,excellent,,,,,,,,,,,,,,,
甲級戰犯,甲级战犯,jia3 ji2 zhan4 fan4],a grade A war criminal,,,,,,,,,,,,,,,,,
甲紫,甲紫,jia3 zi3],gentian violet,,,,,,,,,,,,,,,,,
甲肝,甲肝,jia3 gan1],hepatitis A,,,,,,,,,,,,,,,,,
甲胄,甲胄,jia3 zhou4],armor,,,,,,,,,,,,,,,,,
甲胺,甲胺,jia3 an4],methylamine,,,,,,,,,,,,,,,,,
甲胺磷,甲胺磷,jia3 an4 lin2],methamidophos (chemistry),,,,,,,,,,,,,,,,,
甲苯,甲苯,jia3 ben3],toluene C6H5CH3,methylbenzene,,,,,,,,,,,,,,,,
甲蟲,甲虫,jia3 chong2],beetle,,,,,,,,,,,,,,,,,
甲蟲車,甲虫车,jia3 chong2 che1],beetle (nickname for VW car),,,,,,,,,,,,,,,,,
甲辰,甲辰,jia3 chen2],41st year A5 of the 60 year cycle e.g. 1964 or 2024,,,,,,,,,,,,,,,,,
甲酚,甲酚,jia3 fen1],cresol (chemistry),,,,,,,,,,,,,,,,,
甲酸,甲酸,jia3 suan1],formylic acid (HCOOH),formic acid,methanoic acid,,,,,,,,,,,,,,,
甲醇,甲醇,jia3 chun2],methyl alcohol,methanol CH3OH,wood alcohol,wood spirit,,,,,,,,,,,,,,
甲醇中毒,甲醇中毒,jia3 chun2 zhong1 du2],methyl alcohol poisoning,,,,,,,,,,,,,,,,,
甲醚,甲醚,jia3 mi2],methyl ether CH3OCH3,,,,,,,,,,,,,,,,,
甲醛,甲醛,jia3 quan2],formaldehyde (HCHO),,,,,,,,,,,,,,,,,
