取樣數量,取样数量,qu3 yang4 shu4 liang4],sample size (statistics),,,,,,,,,,,,,,,,,
取款,取款,qu3 kuan3],to withdraw money from a bank,,,,,,,,,,,,,,,,,
取款機,取款机,qu3 kuan3 ji1],ATM,,,,,,,,,,,,,,,,,
取水,取水,qu3 shui3],water intake,to obtain water (from a well etc),,,,,,,,,,,,,,,,
取決,取决,qu3 jue2],to depend upon,to hinge upon,,,,,,,,,,,,,,,,
取消,取消,qu3 xiao1],to cancel,cancellation,,,,,,,,,,,,,,,,
取消禁令,取消禁令,qu3 xiao1 jin4 ling4],to lift a prohibition,to lift a ban,,,,,,,,,,,,,,,,
取燈兒,取灯儿,qu3 deng1 r5],(dialect) match (for lighting fire),,,,,,,,,,,,,,,,,
取現,取现,qu3 xian4],to withdraw money,,,,,,,,,,,,,,,,,
取用,取用,qu3 yong4],to access,to make use of,,,,,,,,,,,,,,,,
取笑,取笑,qu3 xiao4],to tease,to make fun of,,,,,,,,,,,,,,,,
取經,取经,qu3 jing1],to journey to India on a quest for the Buddhist scriptures,to learn by studying another's experience,,,,,,,,,,,,,,,,
取締,取缔,qu3 di4],to suppress,to crack down on,to prohibit,,,,,,,,,,,,,,,
取而代之,取而代之,qu3 er2 dai4 zhi1],to substitute for sb,to remove and replace,,,,,,,,,,,,,,,,
取證,取证,qu3 zheng4],to collect evidence,,,,,,,,,,,,,,,,,
取走,取走,qu3 zou3],to remove,to take away,,,,,,,,,,,,,,,,
取道,取道,qu3 dao4],via,by way of,en route to,,,,,,,,,,,,,,,
取銀,取银,qu3 yin2],to take silver,to come second in a competition,,,,,,,,,,,,,,,,
取錢,取钱,qu3 qian2],to withdraw money,,,,,,,,,,,,,,,,,
取長補短,取长补短,qu3 chang2 bu3 duan3],lit. use others' strengths to make up for one's weak points (idiom from Mencius),to use this in place of that,what you lose on the swings you win on the roundabouts,,,,,,,,,,,,,,,
取關,取关,qu3 guan1],to unfollow (on microblog etc),,,,,,,,,,,,,,,,,
取鬧,取闹,qu3 nao4],to make trouble,to make fun of,,,,,,,,,,,,,,,,
受,受,shou4],to receive,to accept,to suffer,subjected to,to bear,to stand,pleasant,(passive marker),,,,,,,,,,
受不了,受不了,shou4 bu4 liao3],unbearable,unable to endure,can't stand,,,,,,,,,,,,,,,
受主,受主,shou4 zhu3],acceptor (semiconductor),,,,,,,,,,,,,,,,,
受事,受事,shou4 shi4],object (of a transitive verb),to receive a task,,,,,,,,,,,,,,,,
受享,受享,shou4 xiang3],to enjoy,,,,,,,,,,,,,,,,,
受任,受任,shou4 ren4],appointment (to a job),to be appointed (to high office),to accept an appointment,entrusted with responsibilities,same as 授任,,,,,,,,,,,,,
受保人,受保人,shou4 bao3 ren2],the insured person,the person covered by an insurance policy,,,,,,,,,,,,,,,,
受俸,受俸,shou4 feng4],to receive an official's salary,,,,,,,,,,,,,,,,,
受傷,受伤,shou4 shang1],to sustain injuries,wounded (in an accident etc),harmed,,,,,,,,,,,,,,,
受僱,受雇,shou4 gu4],to be employed,to be hired,hired,paid,,,,,,,,,,,,,,
受凍挨餓,受冻挨饿,shou4 dong4 ai2 e4],to go cold and hungry,,,,,,,,,,,,,,,,,
受刑,受刑,shou4 xing2],beaten,tortured,executed,,,,,,,,,,,,,,,
受刑人,受刑人,shou4 xing2 ren2],person being executed,victim of corporal punishment,person serving a sentence,,,,,,,,,,,,,,,
受到,受到,shou4 dao4],to receive,to suffer,obtained,given,,,,,,,,,,,,,,
受到影響,受到影响,shou4 dao4 ying3 xiang3],affected (usually adversely),to suffer,,,,,,,,,,,,,,,,
受制,受制,shou4 zhi4],controlled (by sb),to suffer under a yoke,,,,,,,,,,,,,,,,
受取,受取,shou4 qu3],to accept,to receive,,,,,,,,,,,,,,,,
受命,受命,shou4 ming4],ordained or appointed to a post,to benefit from counsel,,,,,,,,,,,,,,,,
受命于天,受命于天,shou4 ming4 yu2 tian1],to become Emperor by the grace of Heaven,"to ""receive the Mandate of Heaven"" (traditional English translation)",,,,,,,,,,,,,,,,
受困,受困,shou4 kun4],trapped,stranded,,,,,,,,,,,,,,,,
受夠,受够,shou4 gou4],to have had enough of,to be fed up with,to have had one's fill of,,,,,,,,,,,,,,,
受夾板氣,受夹板气,shou4 jia1 ban3 qi4],to be attacked by both sides in a quarrel,to be caught in the crossfire,,,,,,,,,,,,,,,,
受孕,受孕,shou4 yun4],to become pregnant,to conceive,impregnated,insemination,,,,,,,,,,,,,,
受害,受害,shou4 hai4],to suffer damage injury etc,damaged,injured,killed,robbed,,,,,,,,,,,,,
受害人,受害人,shou4 hai4 ren2],victim,,,,,,,,,,,,,,,,,
受害者,受害者,shou4 hai4 zhe3],casualty,victim,those injured and wounded,,,,,,,,,,,,,,,
受寒,受寒,shou4 han2],affected by cold,to catch cold,,,,,,,,,,,,,,,,
受審,受审,shou4 shen3],on trial (for a crime),to stand trial,,,,,,,,,,,,,,,,
受寵,受宠,shou4 chong3],to receive favor (from superior),favored,pampered,,,,,,,,,,,,,,,
