traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
諶,谌,Chen2],surname Chen,,,,,,,,,,,,,,,,,
諶,谌,chen2],faithful,sincere,,,,,,,,,,,,,,,,
諷,讽,feng3],to satirize,to mock,to recite,Taiwan pr. [feng4],,,,,,,,,,,,,,
諷刺,讽刺,feng3 ci4],to satirize,to mock,irony,satire,sarcasm,,,,,,,,,,,,,
諷喻,讽喻,feng3 yu4],parable,allegory,satire,,,,,,,,,,,,,,,
諷諫,讽谏,feng3 jian4],(literary) to remonstrate with one's superior tactfully,,,,,,,,,,,,,,,,,
諷諭,讽谕,feng3 yu4],variant of 諷喻|讽喻[feng3 yu4],,,,,,,,,,,,,,,,,
諸,诸,Zhu1],surname Zhu,,,,,,,,,,,,,,,,,
諸,诸,zhu1],all,various,,,,,,,,,,,,,,,,
諸事,诸事,zhu1 shi4],everything,every matter,,,,,,,,,,,,,,,,
諸位,诸位,zhu1 wei4],(pron) everyone,Ladies and Gentlemen,Sirs,,,,,,,,,,,,,,,
諸侯,诸侯,zhu1 hou2],feudal vassal,feudal princes esp. the monarchs (dukes or princes) of the several vassal states 諸侯國|诸侯国 of Zhou during Western Zhou and Spring and Autumn periods 11th-5th century BC,subordinate warlord,local official,,,,,,,,,,,,,,
諸侯國,诸侯国,zhu1 hou2 guo2],vassal state,,,,,,,,,,,,,,,,,
諸公,诸公,zhu1 gong1],gentlemen (form of address),,,,,,,,,,,,,,,,,
諸凡百事,诸凡百事,zhu1 fan2 bai3 shi4],everything,,,,,,,,,,,,,,,,,
諸君,诸君,zhu1 jun1],Gentlemen! (start of a speech),Ladies and Gentlemen!,,,,,,,,,,,,,,,,
諸城,诸城,Zhu1 cheng2],Zhucheng county level city in Weifang 濰坊|潍坊[Wei2 fang1] Shandong,,,,,,,,,,,,,,,,,
諸城市,诸城市,Zhu1 cheng2 shi4],Zhucheng county level city in Weifang 濰坊|潍坊[Wei2 fang1] Shandong,,,,,,,,,,,,,,,,,
諸多,诸多,zhu1 duo1],(used for abstract things) a good deal a lot of,,,,,,,,,,,,,,,,,
諸如,诸如,zhu1 ru2],(various things) such as,such as (the following),,,,,,,,,,,,,,,,
諸如此類,诸如此类,zhu1 ru2 ci3 lei4],things like this (idiom); and so on,and the rest,etc,,,,,,,,,,,,,,,
諸子,诸子,zhu1 zi3],various sages,refers to the classical schools of thought e.g. Confucianism 儒[ru2] represented by Confucius 孔子[Kong3 zi3] and Mencius 孟子[Meng4 zi3] Daoism 道[dao4] by Laozi 老子[Lao3 zi3] and Zhuangzi 莊子|庄子[Zhuang1 zi3] Mohism 墨[mo4] by Mozi 墨子[Mo4 zi3] Legalism 法[fa3] by Sunzi 孫子|孙子[Sun1 zi3] and Han Feizi 韓非子|韩非子[Han2 Fei1 zi3] and numerous others,,,,,,,,,,,,,,,,
諸子十家,诸子十家,zhu1 zi3 shi2 jia1],various sages and ten schools of thought,refers to the classical schools of thought e.g. Confucianism 儒[ru2] represented by Confucius 孔子[Kong3 zi3] and Mencius 孟子[Meng4 zi3] Daoism 道[dao4] by Laozi 老子[Lao3 zi3] and Zhuangzi 莊子|庄子[Zhuang1 zi3] Mohism 墨[mo4] by Mozi 墨子[Mo4 zi3] Legalism 法[fa3] by Sunzi 孫子|孙子[Sun1 zi3] and Han Feizi 韓非子|韩非子[Han2 Fei1 zi3] and numerous others,,,,,,,,,,,,,,,,
諸子百家,诸子百家,zhu1 zi3 bai3 jia1],the Hundred Schools of Thought the various schools of thought and their exponents during the Spring and Autumn and Warring States Periods (770-220 BC),,,,,,,,,,,,,,,,,
諸廣山,诸广山,Zhu1 guang3 Shan1],Mt Zhuguang between Jiangxi and Hunan,,,,,,,,,,,,,,,,,
諸暨,诸暨,Zhu1 ji4],Zhuji county level city in Shaoxing 紹興|绍兴[Shao4 xing1] Zhejiang,,,,,,,,,,,,,,,,,
諸暨市,诸暨市,Zhu1 ji4 shi4],Zhuji county level city in Shaoxing 紹興|绍兴[Shao4 xing1] Zhejiang,,,,,,,,,,,,,,,,,
諸柘,诸柘,zhu1 zhe4],sugarcane,,,,,,,,,,,,,,,,,
